1 党的机关、国家机关、群众团体和社会组织、企事业单位负责人
2.02.07.08 材料成形与改性工程技术人员
2.02.07.09 焊接工程技术人员
2.02.07.10 特种设备管理和应用工程技术人员
2.02.07.11 汽车工程技术人员L
2.02.07.12 船舶工程技术人员
2.02.08 航空工程技术人员
2.02.08.01 飞行器设计工程技术人员
2.02.08.02 飞行器制造工程技术人员
2.02.08.03 航空动力装置设计工程技术人员
2.02.08.04 航空动力装置制造工程技术人员
2.02.08.05 航空产品试验与飞行试验工程技术人员
2.02.08.06 航空产品适航工程技术人员
2.02.08.07 航空产品支援工程技术人员
2.02.08.08 机载设备设计制造工程技术人员
2.02.09 电子工程技术人员
2.02.09.01 电子材料工程技术人员
2.02.09.02 电子元器件工程技术人员
2.02.09.03 雷达导航工程技术人员
2.02.09.04 电子仪器与电子测量工程技术人员
2.02.09.05 广播视听设备工程技术人员
2.02.10 信息和通信工程技术人员
2.02.10.01 通信工程技术人员
2.02.10.02 计算机硬件工程技术人员
2.02.10.03 计算机软件工程技术人员
2.02.10.04 计算机网络工程技术人员
2.02.10.05 信息系统分析工程技术人员 L
2.02.10.06 嵌入式系统设计工程技术人员 L
2.02.10.07 信息安全工程技术人员
2.02.10.08 信息系统运行维护工程技术人员
2.02.11  电气工程技术人员
2.02.11.01 电工电器工程技术人员
2.02.11.02 电缆光缆工程技术人员
2.02.11.03 光源与照明工程技术人员
2.02.12 电力工程技术人员
2.02.12.01 发电工程技术人员L
2.02.12.02 供用电工程技术人员L
2.02.12.03 变电工程技术人员L
2.02.12.04 输电工程技术人员L
2.02.12.05 电力工程安装工程技术人员L
2.02.13  邮政和快递工程技术人员
2.02.13.01 邮政工程技术人员
2.02.13.02 快递工程技术人员
2.02.14 广播电影电视及演艺设备工程技术人员
2.02.14.01 广播电视制播工程技术人员
2.02.14.02 广播电视传输覆盖工程技术人员
2.02.14.03 电影工程技术人员
2.02.14.04 演艺设备工程技术人员
2.02.15 道路和水上运输工程技术人员
2.02.15.01 汽车运用工程技术人员
2.02.15.02 船舶运用工程技术人员
2.02.15.03 水上交通工程技术人员
2.02.15.04 水上救助打捞工程技术人员
2.02.15.05 船舶检验工程技术人员
2.02.15.06 无线电航标操作与维护工程技术人员
2.02.15.07 视觉航标工程技术人员
2.02.15.08 道路交通工程技术人员
2.02.16  民用航空工程技术人员
2.02.16.01 民用航空器维修与适航工程技术人员
2.02.16.02 民航空中交通管理工程技术人员
2.02.16.03 民航通用航空工程技术人员
2.02.17 铁道工程技术人员
2.02.17.01 铁道运输工程技术人员 L
2.02.17.02 铁道机务工程技术人员
2.02.17.03 铁道车辆工程技术人员
2.02.17.04 铁道电务工程技术人员
2.02.17.05 铁道供电工程技术人员
2.02.17.06 铁道工务工程技术人员
2.02.18 建筑
2.02.18.01 城乡规划工程技工程技术人员术人员 L
2.02.18.02 建筑和市政设计工程技术人员L
2.02.18.03 土木建筑工程技术人员
2.02.18.04 风景园林工程技术人员L
2.02.18.05 供水排水工程技术人员L
2.02.18.06 工程勘察与岩土工程技术人员
2.02.18.07 城镇燃气供热工程技术人员L
2.02.18.08 环境卫生工程技术人员L
2.02.18.09 道路与桥梁工程技术人员
2.02.18.10 港口与航道工程技术人员
2.02.18.11 民航机场工程技术人员
2.02.18.12 铁路建筑工程技术人员
2.02.18.13 水利水电建筑工程技术人员
2.02.18.14 爆破工程技术人员
2.02.19 建材工程技术人员
2.02.19.01 硅酸盐工程技术人员
2.02.19.02 非金属矿及制品工程技术人员
2.02.19.03 无机非金属材料工程技术人员
2.02.20 林业工程技术人员
2.02.20.01 防沙治沙工程技术人员 L
2.02.20.02 森林培育工程技术人员 L
2.02.20.03 园林绿化工程技术人员L
2.02.20.04 野生动植物保护利用工程技术人员L
2.02.20.05 自然保护区工程技术人员L
2.02.20.06 森林保护工程技术人员 L
2.02.20.07 木竹藤棕草加工工程技术人员
2.02.20.08 森林采伐和运输工程技术人员
2.02.20.09 经济林产品加工工程技术人员
2.02.20.10 林业资源调查与监测工程技术人员L
2.02.20.11 园林植物保护工程技术人员L
2.02.21 水利工程技术人员
2.02.21.01 水资源工程技术人员L
2.02.21.02 水生态和江河治理工程技术人员L
2.02.21.03 水利工程管理工程技术人员
2.02.21.04 防汛抗旱减灾工程技术人员 L
2.02.22 海洋工程技术人员
2.02.22.01 海洋调查与监测工程技术人员L
2.02.22.02 海洋环境预报工程技术人员L
2.02.22.03 海洋资源开发利用和保护工程技术人员L
2.02.22.04 海洋工程勘察设计工程技术人员
2.02.22.05 海水淡化工程技术人员
2.02.22.06 深潜工程技术人员
2.02.23 纺织服装工程技术人员
2.02.23.01 纺织工程技术人员
2.02.23.02 染整工程技术人员
2.02.23.03 化学纤维工程技术人员
2.02.23.04 非织造工程技术人员
2.02.23.05 服装工程技术人员
2.02.24 食品工程技术人员
2.02.24.00 食品工程技术人员
2.02.25 气象工程技术人员
2.02.25.01 气象观测工程技术人员 L
2.02.25.02 天气预报工程技术人员 L
2.02.25.03 气候监测预测工程技术人员L
2.02.25.04 气象服务工程技术人员L
2.02.25.05 人工影响天气工程技术人员
2.02.25.06 防雷工程技术人员
2.02.26 地震工程技术人员
2.02.26.01 地震监测预测工程技术人员
2.02.26.02 地震应急救援工程技术人员
2.02.26.03 地震安全性评价工程技术人员
2.02.27 环境保护工程技术人员
2.02.27.01 环境监测工程技术人员L
2.02.27.02 环境污染防治工程技术人员L
2.02.27.03 环境影响评价工程技术人员L
2.02.27.04 核与辐射安全工程技术人员L
2.02.27.05 核与辐射监测工程技术人员 L
2.02.27.06 健康安全环境工程技术人员L
2.02.28 安全工程技术人员
2.02.28.01 安全防范设计评估工程技术人员
2.02.28.02 消防工程技术人员
2.02.28.03 安全生产管理工程技术人员
2.02.28.04 安全评价工程技术人员
2.02.28.05 房屋安全鉴定工程技术人员
2.02.28.06 防伪工程技术人员
2.02.29 标准化、计量、质量和认证认可工程技术人员
2.02.29.01 标准化工程技术人员
2.02.29.02 计量工程技术人员
2.02.29.03 质量管理工程技术人员
2.02.29.04 质量认证认可工程技术人员
2.02.29.05 可靠性工程技术人员
2.02.30 管理（工业）工程技术人员
2.02.30.01 工业工程技术人员
2.02.30.02 物流工程技术人员L
2.02.30.03 战略规划与管理工程技术人员
2.02.30.04 项目管理工程技术人员
2.02.30.05 再生资源工程技术人员L
2.02.30.06 能源管理工程技术人员L
2.02.30.07 监理工程技术人员
2.02.30.08 信息管理工程技术人员
2.02.30.09 数据分析处理工程技术人员
2.02.30.10 工程造价工程技术人员
2.02.31 检验检疫工程技术人员
2.02.31.01 产品质量检验工程技术人员
2.02.31.02 进出口商品检验鉴定工程技术人员
2.02.31.03 进出境动植物检验检疫人员L
2.02.31.04 特种设备检验检测工程技术人员L
2.02.31.05 纤维质量检验工程技术人员
2.02.31.06 卫生检疫人员
2.02.32 制药工程技术人员
2.02.32.00 制药工程技术人员
2.02.33 印刷复制工程技术人员
2.02.33.00 印刷复制工程技术人员
2.02.34 设计工程技术人员
2.02.34.01 产品设计工程技术人员
2.02.34.02 工业设计工程技术人员
2.02.35 康复辅具工程技术人员
2.02.35.01 矫形器师
2.02.35.02 假肢师
2.02.35.03 听力师
2.02.36 轻工工程技术人员
2.02.36.01 制浆造纸工程技术人员
2.02.36.02 皮革化学工程技术人员
2.02.36.03 生物发酵工程技术人员
2.02.36.04 日用化工工程技术人员
2.02.36.05 塑料加工工程技术人员
2.02.37 土地整治工程技术人员
2.02.37.00 土地整治工程技术人员L
2.02.99 其他工程技术人员
2.03 农业技术人员
2.03.01 土壤肥料技术人员
2.03.01.00 土壤肥料技术人员
2.03.02 农业技术指导人员
2.03.02.00 农业技术指导人员
2.03.03 植物保护技术人员
2.03.03.00 植物保护技术人员L
2.03.04 园艺技术人员
2.03.04.00 园艺技术人员L
2.03.05 作物遗传育种裁培技术人员
2.03.05.00 作物遗传育种裁培技术人员
2.03.06 兽医兽药技术人员
2.03.06.01 兽医
2.03.06.02 兽药技术人员
2.03.06.03 宠物医师
2.03.07 畜牧与草业技术人员
2.03.07.01 畜牧技术人员
2.03.07.02 草业技术人员L
2.03.08 水产技术人员
2.03.08.01 水产养殖技术人员
2.03.08.02 渔业资源开发利用技术人员
2.03.09 农业工程技术人员
2.03.09.00 农业工程技术人员
2.03.99 其他农业技术人员
2.04 飞机和船舶技术人员
2.04.01 飞行人员和领航人员
2.04.01.01 飞行驾驶员
2.04.01.02 飞行机械员
2.04.01.03 飞行领航员
2.04.01.04 飞行通信员
2.04.02 船舶指挥和引航人员
2.04.02.01 甲板部技术人员
2.04.02.02 轮机部技术人员
2.04.02.03 船舶引航员
2.04.99 其他飞机和船舶技术人员
2.05 卫生专业技术人员
2.05.01 临床和口腔医师
2.05.01.01 内科医师
2.05.01.02 外科医师
2.05.01.03 儿科医师
2.05.01.04 妇产科医师
2.05.01.05 眼科医师
2.05.01.06 耳鼻咽喉科医师
2.05.01.07 口腔科医师
2.05.01.08 皮肤科医师
2.05.01.09 精神科医师
2.05.01.10 传染病科医师
2.05.01.11 急诊科医师
2.05.01.12 康复科医师
2.05.01.13 麻醉科医师
2.05.01.14 病理科医师
2.05.01.15 放射科医师
2.05.01.16 核医学科医师
2.05.01.17 超声科医师
2.05.01.18 肿瘤科医师
2.05.01.19 全科医师
2.05.01.20 医学遗传科医师
2.05.01.21 妇幼保健医师
2.05.01.22 疼痛科医师
2.05.01.23 重症医学科医师
2.05.01.24 临床检验科医师
2.05.01.25 职业病科医师
2.05.02 中医医师
2.05.02.01 中医内科医师
2.05.02.02 中医外科医师
2.05.02.03 中医妇科医师
2.05.02.04 中医儿科医师
2.05.02.05 中医眼科医师
2.05.02.06 中医皮肤科医师
2.05.02.07 中医骨伤科医师
2.05.02.08 中医肛肠科医师
2.05.02.09 中医耳鼻咽喉科医师
2.05.02.10 针灸医师
2.05.02.11 中医推拿医师
2.05.02.12 中医营养医师
2.05.02.13 中医整脊科医师
2.05.02.14 中医康复医师
2.05.02.15 中医全科医师
2.05.02.16 中医亚健康医师
2.05.03 中西医结合医师
2.05.03.01 中西医结合内科医师
2.05.03.02 中西医结合外科医师
2.05.03.03 中西医结合妇科医师
2.05.03.04 中西医结合儿科医师
2.05.03.05 中西医结合骨伤科医师
2.05.03.06 中西医结合肛科医师
2.05.03.07 中西医结合皮肤与性病科医师
2.05.04 民族医医师
2.05.04.00 民族医医师
2.05.05 公共卫生与健康医师
2.05.05.01 疾病控制医师
2.05.05.02 健康教育医师
2.05.05.03 公共卫生医师
2.05.06 药学技术人员
2.05.06.01 药师
2.05.06.02 中药师
2.05.06.03 民族药师
2.05.07  医疗卫生技术人员
2.05.07.01 影像技师
2.05.07.02 口腔医学技师
2.05.07.03 病理技师
2.05.07.04 临床检验技师
2.05.07.05 公卫检验技师
2.05.07.06 卫生工程技师
2.05.07.07 输血技师
2.05.07.08 临床营养技师
2.05.07.09 消毒技师
2.05.07.10 肿瘤放射治疗技师
2.05.07.11 心电学技师
2.05.07.12 神经电生理脑电图技师
2.05.07.13 康复技师
2.05.07.14 心理治疗技师
2.05.07.15 病案信息技师
2.05.07.16 中医技师
2.05.08 护理人员
2.05.08.01 内科护士
2.05.08.02 儿科护士
2.05.08.03 急诊护士
2.05.08.04 外科护士
2.05.08.05 社区护士
2.05.08.06 助产士
2.05.08.07 口腔科护士
2.05.08.08 妇产科护士
2.05.08.09 中医护士
2.05.09 乡村医生
2.05.09.00 乡村医生
2.05.99 其他卫生专业技术人员
2.06 经济和金融专业人员
2.06.01 经济专业人员
2.06.01.01 经济规划专业人员
2.06.01.02 合作经济专业人员
2.06.01.03 价格专业人员
2.06.02 统计专业人员
2.06.02.00 统计专业人员
2.06.03  会计专业人员
2.06.03.00 会计专业人员
2.06.04 审计专业人员
2.06.04.00 审计专业人员
2.06.05 税务专业人员
2.06.05.00 税务专业人员
2.06.06 评估专业人员
2.06.06.01 资产评估人员
2.06.06.02 房地产估价专业人员
2.06.06.03 森林资源评估专业人员L
2.06.06.04 矿业权评估专业人员
2.06.06.05 海域海岛评估专业人员
2.06.07 商务专业人员
2.06.07.01 国际商务专业人员
2.06.07.02 市场营销专业人员
2.06.07.03 商务策划专业人员
2.06.07.04 品牌专业人员
2.06.07.05 会展策划专业人员
2.06.07.06 房地产开发专业人员
2.06.07.07 医药代表
2.06.07.08 管理咨询专业人员
2.06.07.09 拍卖专业人员
2.06.07.10 物业经营管理专业人员
2.06.07.11 经纪与代理专业人员
2.06.07.12 报关专业人员
2.06.07.13 报检专业人员
2.06.08 人力资源专业人员
2.06.08.01 人力资源管理专业人员
2.06.08.02 人力资源服务专业人员
2.06.08.03 职业信息分析专业人员
2.06.09 银行专业人员
2.06.09.01 银行货币发行专业人员
2.06.09.02 银行国库业务专业人员
2.06.09.03 银行外汇市场业务专业人员
2.06.09.04 银行清算专业人员
2.06.09.05 信贷审核专业人员
2.06.09.06 银行国外业务专业人员
2.06.10 保险专业人员
2.06.10.01 精算专业人员
2.06.10.02 保险核保专业人员
2.06.10.03 保险理赔专业人员
2.06.10.04 保险资金运用专业人员
2.06.11 证券专业人员
2.06.11.01 证券发行专业人员
2.06.11.02 证券交易专业人员
2.06.11.03 证券投资专业人员
2.06.11.04 理财专业人员
2.06.11.05 黄金投资专业人员
2.06.12 知识产权专业人员
2.06.12.01 专利代理专业人员
2.06.12.02 专利审查专业人员
2.06.12.03 专利管理专业人员
2.06.12.04 专利信息分析专业人员
2.06.12.05 版权专业人员
2.06.12.06 商标代理专业人员
2.06.12.07 商标审查审理专业人员
2.06.12.08 商标管理专业人员
2.06.99 其他经济和金融专业人员
2.07 法律、社会和宗教专业人员
2.07.01  法官
2.07.01.00 法官
2.07.02 检察官
2.07.02.00 检察官
2.07.03 律师
2.07.03.00 律师
2.07.04 公证员
2.07.04.00 公证员
2.07.05 司法鉴定人员
2.07.05.01 法医
2.07.05.02 物证鉴定人员
2.07.06 审判辅助人员
2.07.06.00 审判辅助人员
2.07.07  法律顾问
2.07.07.00 法律顾问
2.07.08 宗教教职人员
2.07.08.00 宗教教职人员
2.07.09 社会工作专业人员
2.07.09.01 社会工作者
2.07.09.02 社会组织专业人员
2.07.09.03 心理咨询师
2.07.99 其他法律、社会和宗教专业人员
2.08 教学人员
2.08.01 高等教育教师
2.08.01.00 高等教育教师
2.08.02 中等职业教育教师
2.08.02.00 中等职业教育教师
2.08.03 中小学教育教师
2.08.03.01 中学教育教师
2.08.03.02 小学教育教师
2.08.04 幼儿教育教师
2.08.04.00 幼儿教育教师
2.08.05 特殊教育教师
2.08.05.00 特殊教育教师
2.08.99 其他教学人员
2.09 文学艺术、体育专业人员
2.09.01 文艺创作与编导人员
2.09.01.01 文学作家
2.09.01.02 曲艺作家
2.09.01.03 剧作家
2.09.01.04 作曲家
2.09.01.05 词作家
2.09.01.06 导演
2.09.01.07 舞蹈编导
2.09.01.08 舞美设计
2.09.02 音乐指挥与演员
2.09.02.01 音乐指挥
2.09.02.02 电影电视演员
2.09.02.03 戏剧戏曲演员
2.09.02.04 舞蹈演员
2.09.02.05 曲艺演员
2.09.02.06 杂技魔术演员
2.09.02.07 歌唱演员
2.09.02.08 皮影戏木偶戏演员
2.09.02.09 民族乐器演奏员
2.09.02.10 外国乐器演奏员
2.09.03 电影电视制作专业人员
2.09.03.01 电影电视制片人
2.09.03.02 电影电视场记
2.09.03.03 电影电视摄影师
2.09.03.04 电影电视片发行人
2.09.03.05 电视导播
2.09.03.06 剪辑师
2.09.04 舞台专业人员
2.09.04.01 灯光师
2.09.04.02 音像师
2.09.04.03 美工师
2.09.04.04 化妆师
2.09.04.05 装置师
2.09.04.06 服装道具师
2.09.04.07 演出监督
2.09.04.08 演出制作人
2.09.05 美术专业人员
2.09.05.01 画家
2.09.05.02 篆刻家
2.09.05.03 雕塑家
2.09.05.04 书法家
2.09.05.05 摄影家
2.09.06 工艺美术与创意设计专业人员
2.09.06.01 视觉传达设计人员
2.09.06.02 服装设计人员
2.09.06.03 动画设计人员
2.09.06.04 环境设计人员
2.09.06.05 染织艺术设计人员
2.09.06.06 工艺美术专业人员
2.09.06.07 数字媒体艺术专业人员
2.09.06.08 公共艺术专业人员
2.09.06.09 陈列展览设计人员
2.09.07 体育专业人员
2.09.07.01 教练员
2.09.07.02 裁判员
2.09.07.03 运动员
2.09.07.04 运动防护师
2.09.99 其他文学艺术、体育专业人员
2.10 新闻出版、文化专业人员
2.10.01  记者
2.10.01.01 文字记者
2.10.01.02 摄影记者
2.10.02 编辑
2.10.02.01 文字编辑
2.10.02.02 美术编辑
2.10.02.03 技术编辑
2.10.02.04 音像电子出版物编辑
2.10.02.05 网络编辑
2.10.02.06 电子音乐编辑
2.10.03 校对员
2.10.03.00 校对员
2.10.04 播音员及节目主持人
2.10.04.01 播音员
2.10.04.02 节目主持人
2.10.05 翻译人员
2.10.05.01 翻译
2.10.05.02 手语翻译
2.10.06 图书资料与微缩摄影专业人员
2.10.06.01 图书资料专业人员
2.10.06.02 微缩摄影专业人员
2.10.07 档案专业人员
2.10.07.00 档案专业人员
2.10.08 考古及文物保护专业人员
2.10.08.01 考古专业人员
2.10.08.02 文物藏品专业人员
2.10.08.03 可移动文物保护专业人员
2.10.08.04 不可移动文物保护专业人员
2.10.99 其他新闻出版、文化专业人员
2.99 其他专业技术人员
2.99.00 其他专业技术人员
3 办事人员和有关人员
3.01  办事人员
3.01.01 行政业务办理人员
3.01.01.01 行政办事员
3.01.01.02 社区事务员
3.01.01.03 统计调查员
3.01.01.04 社团会员管理员
3.01.01.05 劝募员
3.01.02 行政事务处理人员
3.01.02.01 机要员
3.01.02.02 秘书
3.01.02.03 公关员
3.01.02.04 收发员
3.01.02.05 打字员
3.01.02.06 速录师
3.01.02.07 制图员
3.01.02.08 后勤管理员
3.01.03 行政执法和仲裁人员
3.01.03.01 行政执法员
3.01.03.02 仲裁员
3.01.99 其他办事人员
3.02 安全和消防人员
3.02.01 人民警察
3.02.01.00 人民警察
3.02.02 保卫人员
3.02.02.00 保卫管理员
3.02.03 消防和应急救援人员
3.02.03.01 消防员
3.02.03.02 消防指挥员
3.02.03.03 消防装备管理员
3.02.03.04 消防安全管理员
3.02.03.05 消防监督检查员
3.02.03.06 森林消防员 L
3.02.03.07 森林火情瞭望观察员L
3.02.03.08 应急救援员
3.02.99 其他安全和消防人员
3.99 其他办事人员和有关人员
3.99.00 其他办事人员和有关人员
4 社会生产服务和生活服务人员
4.01 批发与零售服务人员
4.01.01  采购人员
4.01.01.00 采购员
4.01.02 销售人员
4.01.02.01 营销员
4.01.02.02 电子商务师
4.01.02.03 商品营业员
4.01.02.04 收银员
4.01.02.05 摊商
4.01.03 贸易经纪代理人员
4.01.03.01 农产品经纪人
4.01.03.02 粮油竞价交易员
4.01.04 再生物资回收人员
4.01.04.00 废旧物资回收挑选工 L
4.01.05 特殊商品购销人员
4.01.05.01 农产品购销员
4.01.05.02 医药商品购销员
4.01.05.03 出版物发行员
4.01.05.04 烟草制品购销员
4.01.99 其他批发与零售服务人员
4.02 交通运输、仓储和邮政业服务人员
4.02.01 轨道交通运输服务人员
4.02.01.01 轨道列车司机L
4.02.01.02 铁路列车乘务员
4.02.01.03 铁路车站客运服务员
4.02.01.04 铁路行包运输服务员
4.02.01.05 铁路车站货运服务员
4.02.01.06 轨道交通调度员
4.02.01.07 城市轨道交通服务员
4.02.02 道路运输服务人员
4.02.02.01 道路客运汽车驾驶员L
4.02.02.02 道路货运汽车驾驶员L
4.02.02.03 道路客运服务员
4.02.02.04 道路货运业务员
4.02.02.05 道路运输调度员
4.02.02.06 公路收费及监控员
4.02.02.07 机动车驾驶教练员
4.02.02.08 油气电站操作员
4.02.03 水上运输服务人员
4.02.03.01 客运船舶驾驶员
4.02.03.02 船舶业务员
4.02.03.03 港口客运员
4.02.03.04 水上救生员
4.02.03.05 航标工
4.02.04 航空运输服务人员
4.02.04.01 民航乘务员
4.02.04.02 航空运输地面服务员
4.02.04.03 机场运行指挥员
4.02.05 装卸搬运和运输代理服务人员
4.02.05.01 装卸搬运工
4.02.05.02 客运售票员
4.02.05.03 运输代理服务员
4.02.05.04 危险货物运输作业员
4.02.06 仓储人员
4.02.06.01 仓储管理员
4.02.06.02 理货员
4.02.06.03 物流服务师L
4.02.06.04 冷藏工
4.02.07 邮政和快递服务人员
4.02.07.01 邮政营业员
4.02.07.02 邮件分栋员
4.02.07.03 邮件转运员
4.02.07.04 邮政投递员
4.02.07.05 报刊业务员
4.02.07.06 集邮业务员
4.02.07.07 邮政市场业务员
4.02.07.08 快递员
4.02.07.09 快件处理员
4.02.99 其他交通运输、仓储和邮政业服务人员
4.03 住宿和餐饮服务人员
4.03.01  住宿服务人员
4.03.01.01 前厅服务员服务人员
4.03.01.02 客房服务员
4.03.01.03 旅店服务员
4.03.02 餐饮服务人员
4.03.02.01 中式烹调师服务人员
4.03.02.02 中式面点师
4.03.02.03 西式烹调师
4.03.02.04 西式面点师
4.03.02.05 餐厅服务员
4.03.02.06 营养配餐员
4.03.02.07 茶艺师
4.03.02.08 咖啡师
4.03.02.09 调酒师
4.03.99 其他住宿和餐饮服务人员
4.04 信息传输、软件和信息技术服务人员
4.04.01 信息通信业务人员
4.04.01.01 信息通信营业员
4.04.01.02 电报业务员
4.04.01.03 信息通信业务员
4.04.02 信息通信网络维护人员
4.04.02.01 信息通信网络机务员
4.04.02.02 信息通信网络线务员
4.04.02.03 信息通信网络动力机务员
4.04.02.04 信息通信网络测量员
4.04.02.05 无线电监测与设备运维员
4.04.03 广播电视传输服务人员
4.04.03.01 广播电视天线工
4.04.03.02 有线广播电视机线员
4.04.04 信息通信网络运行管理人员
4.04.04.01 信息通信网络运行管理员
4.04.04.02 网络与信息安全管理员
4.04.04.03 信息通信信息化系统管理员
4.04.05 软件和信息技术服务人员
4.04.05.01 计算机程序设计员
4.04.05.02 计算机软件测试员
4.04.05.03 呼叫中心服务员
4.04.99 其他信息传输、软件和信息技术服务人员
4.05 金融服务人员
4.05.01  银行服务人员
4.05.01.01 银行综合柜员
4.05.01.02 银行信贷员
4.05.01.03 银行客户业务员
4.05.01.04 银行信用卡业务员
4.05.02  证券服务人员
4.05.02.01 证券交易员
4.05.02.02 基金发行员
4.05.03 期货服务人员
4.05.03.00 期货交易员
4.05.04 保险服务人员
4.05.04.01 保险代理人
4.05.04.02 保险保全员
4.05.05 典当服务人员
4.05.05.01 典当业务员
4.05.05.02 鉴定估价师
4.05.06 信托服务人员
4.05.06.01 信托业务员
4.05.06.02 信用管理师
4.05.99 其他金融服务人员
4.06 房地产服务人员
4.06.01 物业管理服务人员
4.06.01.01 物业管理员
4.06.01.02 中央空调系统运行操作员
4.06.01.03 停车管理员
4.06.02 房地产中介服务人员
4.06.02.01 房地产经纪人
4.06.02.02 房地产策划师
4.06.99 其他房地产服务人员
4.07 租赁和商务服务人员
4.07.01 租赁业务人员
4.07.01.00 租赁业务员
4.07.02 商务咨询服务人员
4.07.02.01 风险管理师
4.07.02.02 科技咨询师
4.07.02.03 客户服务管理员
4.07.03 人力资源服务人员
4.07.03.01 职业指导员
4.07.03.02 劳动关系协调员
4.07.03.03 创业指导师
4.07.04 旅游及公共游览场所服务人员
4.07.04.01 导游
4.07.04.02 旅游团队领队
4.07.04.03 旅行社计调
4.07.04.04 旅游咨询员
4.07.04.05 公共游览场所服务员
4.07.04.06 休闲农业服务员
4.07.05 安全保护服务人员
4.07.05.01 保安员
4.07.05.02 安检员
4.07.05.03 智能楼宇管理员
4.07.05.04 消防设施操作员
