好的结果：382
幼儿语言教育 -- 中国语言文学类(编码：05.01，可信度:61.5%);历史学类(编码：06.01，可信度:49.23%);教育学(编码：04，可信度:48.83%)
文学批评 -- 文学(编码：05，可信度:92.12%);中国语言文学类(编码：05.01，可信度:49.72%);戏剧与影视学类(编码：13.03，可信度:45.57%)
国际政治学 -- 马克思主义理论类(编码：03.05，可信度:60.87%);政治学类(编码：03.02，可信度:57.38%);哲学类(编码：01.01，可信度:38.51%)
物流与供应管理 -- 物流管理与工程类(编码：12.06，可信度:79.57%);管理学(编码：12，可信度:62.41%);旅游管理类(编码：12.09，可信度:40.7%)
社会保障政策与管理 -- 公共管理类(编码：12.04，可信度:78.78%);法学类(编码：03.01，可信度:48.04%);电子商务类(编码：12.08，可信度:42.63%)
城市客运管理 -- 公共管理类(编码：12.04，可信度:60.82%);旅游管理类(编码：12.09，可信度:38.79%);物流管理与工程类(编码：12.06，可信度:38.64%)
政府与非盈利组织会计 -- 工商管理类(编码：12.02，可信度:48.62%);电子商务类(编码：12.08，可信度:29.02%);旅游管理类(编码：12.09，可信度:28.43%)
配送与配送中心 -- 外国语言文学类(编码：05.02，可信度:56.09%);护理学类(编码：10.11，可信度:48.36%);林学类(编码：09.05，可信度:36.37%)
现当代文学专题 -- 文学(编码：05，可信度:69.59%);中国语言文学类(编码：05.01，可信度:33.09%);戏剧与影视学类(编码：13.03，可信度:31.19%)
信息经济学 -- 地理科学类(编码：07.05，可信度:61.67%);经济学(编码：02，可信度:61.5%);数学类(编码：07.01，可信度:55.31%)
知识产权法 -- 法学类(编码：03.01，可信度:95.23%);电子商务类(编码：12.08，可信度:80.95%);法学(编码：03，可信度:76.85%)
社会学概论 -- 社会学类(编码：03.03，可信度:54.65%);体育学类(编码：04.02，可信度:42.99%);音乐与舞蹈学类(编码：13.02，可信度:24.14%)
企业战略管理 -- 管理学(编码：12，可信度:56.2%);物流管理与工程类(编码：12.06，可信度:48.37%);农业经济管理类(编码：12.03，可信度:44.58%)
行政管理学 -- 管理学(编码：12，可信度:59.27%);政治学类(编码：03.02，可信度:44.16%);公共管理类(编码：12.04，可信度:43.58%)
交通需求管理 -- 交通运输类(编码：08.18，可信度:53.75%);旅游管理类(编码：12.09，可信度:42.78%);管理学(编码：12，可信度:34.28%)
音乐赏析 -- 音乐与舞蹈学类(编码：13.02，可信度:84.37%);戏剧与影视学类(编码：13.03，可信度:54.84%);艺术学理论类(编码：13.01，可信度:52.01%)
学前儿童卫生学 -- 教育学类(编码：04.01，可信度:68.49%);公共卫生与预防医学类(编码：10.04，可信度:51.27%);基础医学类(编码：10.01，可信度:48.83%)
会计电算化 -- 工商管理类(编码：12.02，可信度:59.41%);旅游管理类(编码：12.09，可信度:26.93%);电子商务类(编码：12.08，可信度:25.9%)
旅游法学 -- 电子商务类(编码：12.08，可信度:74.72%);法学类(编码：03.01，可信度:62.99%);法学(编码：03，可信度:60.86%)
文献信息检索 -- 中国语言文学类(编码：05.01，可信度:54.64%);农学(编码：09，可信度:39.01%);文学(编码：05，可信度:30.07%)
货物运输与包装 -- 设计学类(编码：13.05，可信度:66.9%);轻工类(编码：08.17，可信度:56.58%);计算机类(编码：08.09，可信度:43.83%)
中国化的马克思主义(邓小平理论概论) -- 材料类(编码：08.04，可信度:64.09%);地质学类(编码：07.09，可信度:56.47%);马克思主义理论类(编码：03.05，可信度:56.25%)
旅行社经营与管理 -- 物流管理与工程类(编码：12.06，可信度:55.65%);管理学(编码：12，可信度:54.06%);管理科学与工程类(编码：12.01，可信度:43.21%)
学前教育科学研究 -- 教育学类(编码：04.01，可信度:64.49%);数学类(编码：07.01，可信度:47.76%);基础医学类(编码：10.01，可信度:45.5%)
旅游消费者行为学 -- 旅游管理类(编码：12.09，可信度:72.49%);电子商务类(编码：12.08，可信度:52.23%);工商管理类(编码：12.02，可信度:31.29%)
教育科研方法 -- 教育学(编码：04，可信度:94.32%);马克思主义理论类(编码：03.05，可信度:52.35%);音乐与舞蹈学类(编码：13.02，可信度:48.51%)
政治综合 -- 政治学类(编码：03.02，可信度:71.08%);马克思主义理论类(编码：03.05，可信度:57.23%);哲学类(编码：01.01，可信度:52.13%)
国家公务员制度 -- 外国语言文学类(编码：05.02，可信度:49.59%);护理学类(编码：10.11，可信度:44.28%);财政学类(编码：02.02，可信度:41.23%)
旅游服务礼仪 -- 外国语言文学类(编码：05.02，可信度:52.16%);护理学类(编码：10.11，可信度:49.26%);林学类(编码：09.05，可信度:47.97%)
工商行政管理 -- 管理学(编码：12，可信度:91.75%);物流管理与工程类(编码：12.06，可信度:59.35%);工业工程类(编码：12.07，可信度:37.35%)
行政法与行政诉讼法学 -- 外国语言文学类(编码：05.02，可信度:52.54%);哲学类(编码：01.01，可信度:50.16%);林学类(编码：09.05，可信度:45.99%)
财务会计(下) -- 工商管理类(编码：12.02，可信度:66.0%);统计学类(编码：07.12，可信度:37.67%);经济学类(编码：02.01，可信度:37.1%)
学习心理学 -- 心理学类(编码：07.11，可信度:88.59%);农学(编码：09，可信度:38.89%);艺术学(编码：13，可信度:26.93%)
中国古代文学 -- 文学(编码：05，可信度:78.09%);中国语言文学类(编码：05.01，可信度:45.72%);戏剧与影视学类(编码：13.03，可信度:44.99%)
学前儿童艺术教育基础 -- 教育学类(编码：04.01，可信度:69.99%);数学类(编码：07.01，可信度:59.55%);教育学(编码：04，可信度:51.25%)
比较教育学 -- 教育学(编码：04，可信度:100.0%);马克思主义理论类(编码：03.05，可信度:46.7%);教育学类(编码：04.01，可信度:42.51%)
青少年社会工作 -- 社会学类(编码：03.03，可信度:82.0%);体育学类(编码：04.02，可信度:41.09%);心理学类(编码：07.11，可信度:34.71%)
大学摄影 -- 管理科学与工程类(编码：12.01，可信度:71.89%);美术学类(编码：13.04，可信度:40.28%);戏剧与影视学类(编码：13.03，可信度:28.42%)
财务会计学(新)第二版 -- 工商管理类(编码：12.02，可信度:71.24%);外国语言文学类(编码：05.02，可信度:27.67%);护理学类(编码：10.11，可信度:24.45%)
应用写作 -- 统计学类(编码：07.12，可信度:46.53%);外国语言文学类(编码：05.02，可信度:38.58%);经济学类(编码：02.01，可信度:31.49%)
旅游电子商务 -- 旅游管理类(编码：12.09，可信度:70.37%);电子商务类(编码：12.08，可信度:65.24%);法学类(编码：03.01，可信度:44.3%)
证券投资学 -- 金融学类(编码：02.03，可信度:69.14%);数学类(编码：07.01，可信度:36.11%);外国语言文学类(编码：05.02，可信度:25.4%)
国际贸易 -- 金融学类(编码：02.03，可信度:59.59%);力学类(编码：08.01，可信度:39.6%);数学类(编码：07.01，可信度:37.06%)
地籍管理 -- 管理学(编码：12，可信度:91.88%);物流管理与工程类(编码：12.06，可信度:58.98%);艺术学理论类(编码：13.01，可信度:37.29%)
电算会计 -- 工商管理类(编码：12.02，可信度:60.15%);电子商务类(编码：12.08，可信度:31.35%);旅游管理类(编码：12.09，可信度:28.68%)
人格心理学 -- 心理学类(编码：07.11，可信度:92.47%);社会学类(编码：03.03，可信度:37.3%);艺术学理论类(编码：13.01，可信度:27.16%)
现代管理学 -- 管理学(编码：12，可信度:100.0%);物流管理与工程类(编码：12.06，可信度:47.33%);经济学类(编码：02.01，可信度:33.11%)
绩效管理 -- 管理学(编码：12，可信度:92.04%);物流管理与工程类(编码：12.06，可信度:59.37%);工业工程类(编码：12.07，可信度:37.25%)
财务分析 -- 药学类(编码：10.07，可信度:62.87%);林学类(编码：09.05，可信度:27.83%);外国语言文学类(编码：05.02，可信度:24.22%)
领导科学 -- 大气科学类(编码：07.06，可信度:82.36%);草学类(编码：09.07，可信度:81.14%);地球物理学类(编码：07.08，可信度:59.57%)
20世纪中国文学研究专题 -- 文学(编码：05，可信度:59.18%);中国语言文学类(编码：05.01，可信度:43.69%);戏剧与影视学类(编码：13.03，可信度:39.98%)
社会调查理论与方法 -- 社会学类(编码：03.03，可信度:62.09%);音乐与舞蹈学类(编码：13.02，可信度:52.6%);艺术学理论类(编码：13.01，可信度:48.86%)
运输市场营销 -- 工商管理类(编码：12.02，可信度:86.48%);经济学类(编码：02.01，可信度:31.93%);政治学类(编码：03.02，可信度:28.89%)
薪酬管理 -- 管理学(编码：12，可信度:87.99%);物流管理与工程类(编码：12.06，可信度:60.88%);旅游管理类(编码：12.09，可信度:40.0%)
项目管理 -- 管理学(编码：12，可信度:100.0%);物流管理与工程类(编码：12.06，可信度:47.33%);经济学类(编码：02.01，可信度:33.11%)
中国法律思想史 -- 电子商务类(编码：12.08，可信度:90.33%);法学类(编码：03.01，可信度:81.4%);法学(编码：03，可信度:54.46%)
市场营销学(新) -- 工商管理类(编码：12.02，可信度:78.62%);旅游管理类(编码：12.09，可信度:23.27%);电子商务类(编码：12.08，可信度:23.21%)
民法概要 -- 护理学类(编码：10.11，可信度:45.49%);外国语言文学类(编码：05.02，可信度:43.85%);林学类(编码：09.05，可信度:39.44%)
民法 -- 护理学类(编码：10.11，可信度:45.49%);外国语言文学类(编码：05.02，可信度:43.85%);林学类(编码：09.05，可信度:39.44%)
刑法总论 -- 护理学类(编码：10.11，可信度:47.91%);外国语言文学类(编码：05.02，可信度:45.35%);林学类(编码：09.05，可信度:33.71%)
中国文学史专题(二) -- 文学(编码：05，可信度:66.88%);中国语言文学类(编码：05.01，可信度:36.4%);戏剧与影视学类(编码：13.03，可信度:34.11%)
基础会计学(新) -- 工商管理类(编码：12.02，可信度:45.67%);数学类(编码：07.01，可信度:35.35%);旅游管理类(编码：12.09，可信度:29.37%)
劳动合同法 -- 工商管理类(编码：12.02，可信度:65.71%);经济学类(编码：02.01，可信度:55.24%);公共管理类(编码：12.04，可信度:52.33%)
管理学 -- 管理学(编码：12，可信度:100.0%);物流管理与工程类(编码：12.06，可信度:47.33%);经济学类(编码：02.01，可信度:33.11%)
企业管理学 -- 管理学(编码：12，可信度:73.25%);物流管理与工程类(编码：12.06，可信度:50.55%);农业经济管理类(编码：12.03，可信度:42.1%)
外国经济学说史 -- 经济学(编码：02，可信度:70.34%);农业经济管理类(编码：12.03，可信度:40.07%);经济学类(编码：02.01，可信度:39.59%)
人力资源开发与管理 -- 管理科学与工程类(编码：12.01，可信度:75.07%);物流管理与工程类(编码：12.06，可信度:51.38%);中药学类(编码：10.08，可信度:50.89%)
教育心理学 -- 教育学(编码：04，可信度:79.75%);心理学类(编码：07.11，可信度:55.19%);马克思主义理论类(编码：03.05，可信度:46.91%)
国民经济管理学 -- 统计学类(编码：07.12，可信度:78.68%);经济学类(编码：02.01，可信度:74.8%);管理学(编码：12，可信度:61.98%)
行政与行政诉讼法 -- 政治学类(编码：03.02，可信度:62.17%);哲学类(编码：01.01，可信度:55.86%);公共管理类(编码：12.04，可信度:51.02%)
劳动经济学 -- 经济学类(编码：02.01，可信度:64.12%);工商管理类(编码：12.02，可信度:63.5%);经济学(编码：02，可信度:54.0%)
建筑艺术欣赏 -- 农业工程类(编码：08.23，可信度:56.44%);建筑类(编码：08.28，可信度:55.15%);自然保护与环境生态类(编码：09.02，可信度:44.43%)
客户关系管理 -- 管理学(编码：12，可信度:91.72%);物流管理与工程类(编码：12.06，可信度:59.6%);旅游管理类(编码：12.09，可信度:37.15%)
幼儿音乐教育 -- 农学(编码：09，可信度:49.97%);中国语言文学类(编码：05.01，可信度:36.48%);外国语言文学类(编码：05.02，可信度:29.41%)
法律基础 -- 电子商务类(编码：12.08，可信度:49.89%);法学类(编码：03.01，可信度:43.83%);数学类(编码：07.01，可信度:38.92%)
管理会计 -- 管理学(编码：12，可信度:70.83%);工商管理类(编码：12.02，可信度:51.58%);物流管理与工程类(编码：12.06，可信度:45.0%)
20世纪世界文学 -- 文学(编码：05，可信度:73.69%);中国语言文学类(编码：05.01，可信度:46.53%);戏剧与影视学类(编码：13.03，可信度:38.12%)
安全生产管理知识 -- 动物生产类(编码：09.03，可信度:47.61%);旅游管理类(编码：12.09，可信度:43.89%);农学(编码：09，可信度:41.67%)
学校健康教育学 -- 教育学(编码：04，可信度:46.6%);公共卫生与预防医学类(编码：10.04，可信度:38.62%);教育学类(编码：04.01，可信度:37.71%)
学前儿童语言教育 -- 教育学类(编码：04.01，可信度:65.75%);音乐与舞蹈学类(编码：13.02，可信度:51.79%);数学类(编码：07.01，可信度:50.7%)
中国古代文学(1) -- 文学(编码：05，可信度:78.09%);中国语言文学类(编码：05.01，可信度:45.72%);戏剧与影视学类(编码：13.03，可信度:44.99%)
土地法 -- 财政学类(编码：02.02，可信度:50.92%);农业工程类(编码：08.23，可信度:37.53%);外国语言文学类(编码：05.02，可信度:36.33%)
人力资源管理概论 -- 管理学(编码：12，可信度:70.13%);物流管理与工程类(编码：12.06，可信度:59.82%);农业经济管理类(编码：12.03，可信度:48.5%)
公共管理学 -- 设计学类(编码：13.05，可信度:51.79%);公共管理类(编码：12.04，可信度:43.45%);经济学类(编码：02.01，可信度:39.39%)
财务分析学 -- 药学类(编码：10.07，可信度:62.87%);林学类(编码：09.05，可信度:27.83%);外国语言文学类(编码：05.02，可信度:24.22%)
文学理论(1) -- 文学(编码：05，可信度:66.13%);音乐与舞蹈学类(编码：13.02，可信度:45.91%);艺术学理论类(编码：13.01，可信度:42.53%)
现代企业管理 -- 管理学(编码：12，可信度:73.25%);物流管理与工程类(编码：12.06，可信度:50.55%);农业经济管理类(编码：12.03，可信度:42.1%)
农村人力资源管理 -- 农业经济管理类(编码：12.03，可信度:79.3%);物流管理与工程类(编码：12.06，可信度:50.28%);管理学(编码：12，可信度:44.73%)
教育学原理 -- 教育学(编码：04，可信度:74.95%);马克思主义理论类(编码：03.05，可信度:40.12%);旅游管理类(编码：12.09，可信度:31.79%)
社会心理学 -- 心理学类(编码：07.11，可信度:76.78%);社会学类(编码：03.03，可信度:54.73%);旅游管理类(编码：12.09，可信度:32.46%)
中国文学史专题(一) -- 文学(编码：05，可信度:66.88%);中国语言文学类(编码：05.01，可信度:36.4%);戏剧与影视学类(编码：13.03，可信度:34.11%)
铁路旅客运营管理 -- 物流管理与工程类(编码：12.06，可信度:49.0%);管理学(编码：12，可信度:39.83%);农业经济管理类(编码：12.03，可信度:37.34%)
产业经济学 -- 经济学(编码：02，可信度:78.88%);农业经济管理类(编码：12.03，可信度:46.45%);经济学类(编码：02.01，可信度:44.18%)
小学科学教育 -- 草学类(编码：09.07，可信度:74.32%);大气科学类(编码：07.06，可信度:73.32%);教育学(编码：04，可信度:67.52%)
当代中国政治制度 -- 社会学类(编码：03.03，可信度:54.81%);外国语言文学类(编码：05.02，可信度:47.54%);林学类(编码：09.05，可信度:31.67%)
中国近现代史纲要 -- 外国语言文学类(编码：05.02，可信度:56.35%);护理学类(编码：10.11，可信度:49.46%);林学类(编码：09.05，可信度:40.44%)
员工培训 -- 外国语言文学类(编码：05.02，可信度:55.15%);护理学类(编码：10.11，可信度:54.28%);林学类(编码：09.05，可信度:41.94%)
预测与决策分析 -- 外国语言文学类(编码：05.02，可信度:47.18%);社会学类(编码：03.03，可信度:41.45%);护理学类(编码：10.11，可信度:38.15%)
学前儿童科学教育 -- 教育学类(编码：04.01，可信度:69.32%);草学类(编码：09.07，可信度:68.59%);大气科学类(编码：07.06，可信度:65.75%)
旅游经济学 -- 经济学(编码：02，可信度:67.51%);旅游管理类(编码：12.09，可信度:45.37%);农业经济管理类(编码：12.03，可信度:44.64%)
西方经济学 -- 经济学(编码：02，可信度:100.0%);经济学类(编码：02.01，可信度:51.77%);金融学类(编码：02.03，可信度:40.45%)
企业运营管理 -- 管理学(编码：12，可信度:52.83%);物流管理与工程类(编码：12.06，可信度:52.58%);农业经济管理类(编码：12.03，可信度:46.51%)
灾害地理学 -- 地理科学类(编码：07.05，可信度:76.67%);测绘类(编码：08.12，可信度:71.25%);数学类(编码：07.01，可信度:56.26%)
现代教育技术 -- 教育学(编码：04，可信度:67.85%);地球物理学类(编码：07.08，可信度:60.44%);仪器类(编码：08.03，可信度:57.53%)
教育评价学 -- 教育学(编码：04，可信度:81.53%);教育学类(编码：04.01，可信度:55.36%);音乐与舞蹈学类(编码：13.02，可信度:46.33%)
民间文学 -- 文学(编码：05，可信度:92.12%);中国语言文学类(编码：05.01，可信度:49.59%);戏剧与影视学类(编码：13.03，可信度:45.65%)
基础会计(旅游与饭店会计) -- 旅游管理类(编码：12.09，可信度:50.58%);工商管理类(编码：12.02，可信度:48.47%);电子商务类(编码：12.08，可信度:39.31%)
管理经济学 -- 经济学(编码：02，可信度:79.6%);管理学(编码：12，可信度:73.78%);经济学类(编码：02.01，可信度:55.89%)
饭店管理概论 -- 管理学(编码：12，可信度:67.65%);旅游管理类(编码：12.09，可信度:42.55%);物流管理与工程类(编码：12.06，可信度:38.31%)
公司理财 -- 护理学类(编码：10.11，可信度:56.63%);外国语言文学类(编码：05.02，可信度:51.4%);林学类(编码：09.05，可信度:44.86%)
农村科技适用教程 -- 农业经济管理类(编码：12.03，可信度:69.44%);设计学类(编码：13.05，可信度:58.04%);金融学类(编码：02.03，可信度:53.22%)
学前儿童游戏 -- 教育学类(编码：04.01，可信度:59.07%);数学类(编码：07.01，可信度:50.43%);心理学类(编码：07.11，可信度:47.28%)
中国教育简史 -- 教育学(编码：04，可信度:94.14%);马克思主义理论类(编码：03.05，可信度:52.11%);音乐与舞蹈学类(编码：13.02，可信度:48.46%)
政府经济学 -- 经济学(编码：02，可信度:68.63%);工商管理类(编码：12.02，可信度:48.67%);经济学类(编码：02.01，可信度:42.79%)
当代资本主义 -- 社会学类(编码：03.03，可信度:59.77%);外国语言文学类(编码：05.02，可信度:47.2%);护理学类(编码：10.11，可信度:33.34%)
学校管理学 -- 管理学(编码：12，可信度:72.06%);旅游管理类(编码：12.09，可信度:48.27%);物流管理与工程类(编码：12.06，可信度:41.44%)
马克思主义哲学原理 -- 政治学类(编码：03.02，可信度:74.65%);哲学(编码：01，可信度:66.43%);哲学类(编码：01.01，可信度:63.94%)
经济学原理(本科) -- 经济学(编码：02，可信度:61.59%);政治学类(编码：03.02，可信度:60.62%);农业经济管理类(编码：12.03，可信度:55.89%)
刑法分论 -- 护理学类(编码：10.11，可信度:58.22%);外国语言文学类(编码：05.02，可信度:55.85%);林学类(编码：09.05，可信度:40.71%)
物流管理概论 -- 物流管理与工程类(编码：12.06，可信度:75.26%);管理学(编码：12，可信度:74.74%);工业工程类(编码：12.07，可信度:38.92%)
体育社会学 -- 体育学类(编码：04.02，可信度:63.16%);工商管理类(编码：12.02，可信度:36.21%);民族学类(编码：03.04，可信度:34.78%)
市场营销学 -- 工商管理类(编码：12.02，可信度:73.4%);政治学类(编码：03.02，可信度:27.83%);经济学类(编码：02.01，可信度:26.29%)
城市轨道交通客流调查 -- 交通运输类(编码：08.18，可信度:53.56%);社会学类(编码：03.03，可信度:34.96%);外国语言文学类(编码：05.02，可信度:29.76%)
航空法规 -- 外国语言文学类(编码：05.02，可信度:54.54%);护理学类(编码：10.11，可信度:48.02%);林学类(编码：09.05，可信度:45.87%)
儿童游戏理论 -- 马克思主义理论类(编码：03.05，可信度:58.32%);音乐与舞蹈学类(编码：13.02，可信度:56.86%);教育学类(编码：04.01，可信度:56.14%)
行政及行政诉讼法 -- 政治学类(编码：03.02，可信度:62.17%);哲学类(编码：01.01，可信度:55.86%);公共管理类(编码：12.04，可信度:51.02%)
儿童学习心理与教育心理学 -- 心理学类(编码：07.11，可信度:77.37%);教育学类(编码：04.01，可信度:47.11%);音乐与舞蹈学类(编码：13.02，可信度:42.47%)
史学理论与方法 -- 力学类(编码：08.01，可信度:49.64%);艺术学理论类(编码：13.01，可信度:42.78%);马克思主义理论类(编码：03.05，可信度:42.08%)
管理学概论 -- 管理学(编码：12，可信度:100.0%);物流管理与工程类(编码：12.06，可信度:47.33%);经济学类(编码：02.01，可信度:33.11%)
资产评估 -- 工商管理类(编码：12.02，可信度:95.08%);经济学类(编码：02.01，可信度:38.12%);统计学类(编码：07.12，可信度:28.12%)
幼儿园教育 -- 教育学(编码：04，可信度:78.74%);旅游管理类(编码：12.09，可信度:39.87%);音乐与舞蹈学类(编码：13.02，可信度:38.78%)
